text,emotion
I feel very sad today,sadness
I am happy with my exam results,happiness
I am scared about tomorrow,anxiety
I feel angry about the situation,anger
I love spending time with my friends,happiness
I feel lonely today,sadness
I am very excited about my trip,happiness
I feel nervous about my presentation,anxiety
I am upset with what happened,anger
I feel grateful for my family,happiness
Life feels overwhelming today,sadness
I am feeling great today,happiness
I am worried about my future,anxiety
I feel frustrated with my work,anger
I feel loved and supported,happiness