text,emotion
I feel very sad today,sadness
I am happy with my exam results,joy
I am scared about tomorrow,fear
I feel angry about the situation,anger
I love spending time with my friends,love
I feel lonely today,sadness
I am very excited about my trip,joy
I feel nervous about my presentation,fear
I am upset with what happened,anger
I feel grateful for my family,love
Life feels overwhelming today,sadness
I am feeling great today,joy
I am worried about my future,fear
I feel frustrated with my work,anger
I feel loved and supported,love